Nr,Navn,Inndeling,Rnr,Region,Fnr,Fylke,År,Folkemengde,Antall personer 6-15,SKS tildelinger,Forfattere,Musikere og komponister,Film- og scenekunstnere,Visuelle kunstnere,Kulturformidling,Kunstnerisk Produksjon,Media,Total Besøk,Betalende Besøk,Utstillinger og arrangementer,Billettselskap Arrangementer,Billettselskap Omsetning,Filmfremvisninger,Kinobesøk,Mangfold filmframvisniger,Mangfold kinobesøk,Besøk,Voksne aktive lånere,Utlån,Arrangement deltakere,Teater Forestillinger,Teater Publikum,Dans Forestillinger,Elever,Timer,Mangfold Timer,Publikum,Mangfold Publikum,Frifond,Riksantikvar og Kulturminnefond,Norsk Kulturråd,Historielag,Husflidlag,Kor,Korps,MVA Refusjon,Voksenopplæring,Kunstlag
418,Nord-Odal,Kommune,10011,Glåmdal,4,Hedmark,2017,5100,559,,,1.764705882,,0.196078431,,1.960784314,0.392156863,,,,2.352941176,69.93882353,14.31372549,0.345294118,217,234,1.010196078,102.3529412,4.04254902,0,1.37254902,0.07745098,,0.14490161,1.363148479,388,5.202146691,98,0,0,0,,8.431372549,14.50980392,16.66666667,5.255686275,10.39215686,
418,Nord-Odal,Kommune,10011,Glåmdal,4,Hedmark,2018,5097,535,,,1.373356877,,0.19619384,0.392387679,3.531489111,0.392387679,,,,2.746713753,41.53384344,13.73356877,0.365901511,208,231,1.168726702,98.09691976,3.195409064,0,0.784775358,0.086129096,,0.14953271,1.437383178,373,2.93271028,321,0,32.37198352,0,,8.24014126,5.885815185,16.28408868,8.939572297,29.23288209,
419,Sør-Odal,Kommune,10011,Glåmdal,4,Hedmark,2014,7847,870,29.74193959,,1.78412132,0.127437237,0.382311711,2.548744743,3.058493692,1.274372372,,,,1.401809609,44.50681789,,,300,300,2.57104626,111.6350198,4.401682172,,0.127437237,0.005097489,,0.095402299,1.434482759,384,5.454022989,183,0.509748949,7.2002039,7.64623423,17.07658978,7.773671467,5.479801198,3.440805403,16.70753154,7.901108704,
419,Sør-Odal,Kommune,10011,Glåmdal,4,Hedmark,2015,7800,859,50.05705128,,1.666666667,,0.256410256,3.076923077,3.076923077,0.512820513,,,,1.282051282,53.00923077,,,305,305,2.768589744,113.3333333,4.638333333,0.070384615,0.128205128,0.011923077,,0.09895227,1.356228172,388,5.187427241,171,0,14.1025641,8.974358974,17.17948718,8.333333333,7.307692308,0.769230769,3.753717949,3.205128205,
419,Sør-Odal,Kommune,10011,Glåmdal,4,Hedmark,2016,7901,846,29.95000633,,1.771927604,,0.253132515,2.784457664,2.784457664,0.253132515,0.529679787,0.521199848,,1.012530059,48.39488672,,,307,307,2.653967852,110.8720415,4.183521073,0.116314391,1.139096317,0.053031262,,0.100472813,1.290780142,389,5.88534279,180,0,62.1440324,8.859638021,21.26313125,3.670421466,7.340842931,0.759397545,7.085938489,6.708011644,9.998734337
419,Sør-Odal,Kommune,10011,Glåmdal,4,Hedmark,2017,7866,818,30.18560895,,1.906941266,,0.889905924,3.305364861,3.051106026,0.508517671,0.501906941,0.501906941,1.14416476,1.398423595,61.06025934,,,313,313,2.700101704,103.6104755,4.121917112,0.084795322,0.127129418,0.003051106,,0.117359413,1.405867971,381,6.533007335,17,0,75.64200356,8.899059242,19.95931859,4.449529621,6.356470887,2.669717773,12.8820239,3.432494279,10.043224
419,Sør-Odal,Kommune,10011,Glåmdal,4,Hedmark,2018,7884,809,,,1.775748351,,0.887874176,3.04414003,2.790461695,0.253678336,,,,2.409944191,58.66527144,,,315,315,3.023592085,100.7102993,4.104769153,0.154743785,0.126839168,0.006976154,,0.12855377,1.598269468,345,4.557478368,86,0,6.341958397,10.14713343,19.91374937,4.058853374,17.75748351,2.663622527,6.688483004,9.386098427,10.90816844
420,Eidskog,Kommune,10011,Glåmdal,4,Hedmark,2014,6253,709,111.9710539,,1.439309132,,0.639692947,1.599232368,1.919078842,,,,,0.959539421,19.52486806,1.919078842,0.038701423,286,296,6.462817847,111.7863426,2.604669759,,0.479769711,0.025267871,,0.215796897,2.809590973,179,5.462623413,174,0,10.3950104,0,39.82088597,2.55877179,13.75339837,12.31408924,2.346873501,11.67439629,
420,Eidskog,Kommune,10011,Glåmdal,4,Hedmark,2015,6219,676,112.8533526,,1.286380447,,0.482392668,2.251165782,1.607975559,,,,,0.964785335,23.11127191,2.411963338,0.050972825,282,287,5.561987458,109.6639331,2.825695449,0.243769095,0.321595112,0.023637241,,0.210059172,3.346153846,155,4.821005917,244,0,23.95883583,5.145521788,40.03859141,2.73355845,13.50699469,11.89901913,5.633863965,10.29104358,
420,Eidskog,Kommune,10011,Glåmdal,4,Hedmark,2016,6142,638,115.582058,,1.139693911,0.162813416,0.488440247,3.256268317,2.279387822,,0.477857375,0.337186584,,1.628134158,61.80722892,2.605014653,0.086779551,293,300,6.845652882,111.8528167,2.771247151,0.356398567,1.302507327,0.064311299,,0.178683386,3.832288401,76,5.452978056,262,0,94.43178118,,40.54054054,2.930641485,12.69944643,11.72256594,4.343210681,12.86225985,
420,Eidskog,Kommune,10011,Glåmdal,4,Hedmark,2017,6127,609,116.2591807,,0.816060062,,0.816060062,2.937816223,1.632120124,,0.302431859,0.185245634,0.979272074,1.305696099,115.4300637,2.611392198,0.07377183,288,285,7.460747511,96.45829933,3.169250857,0.159947772,0.163212012,0.009303085,,0.197044335,4.014778325,80,6.45320197,9,0,0,,39.17088298,2.937816223,14.19944508,10.93520483,7.788477232,14.68908112,
