Nr,Navn,Inndeling,Fnr,Fylke,Rnr,Region,Aar,Produktivitet,Produktivitet Bransjejustert,Arbeidsplassvekst,Arbeidsplassvekst Bransjejustert,Lonnsomhet,Lonnsomhet Bransjejustert,Egenkapital,Etableringsfrekvens,Etableringsfrekvens Bransjejustert,Foretaksvekst,Foretaksvekst Bransjejustert,Storrelse,Produktivitet Score,Produktivitet Bransjejustert Score,Arbeidsplassvekst Score,Arbeidsplassvekst Bransjejustert Score,Lonnsomhet Score,Lonnsomhet Bransjejustert Score,Egenkapital Score,Etableringsfrekvens Bransjejustert Score,Etableringsfrekvens Score,Foretaksvekst Score,Foretaksvekst Bransjejustert Score,Storrelse Score,Produktivitet Indeks,Arbeidsplassvekst Indeks,Lonnsomhet Indeks,Nyetableringer Indeks,Storrelse Indeks,Naringsindeksen
0,Norge,Land,,,,,2009,527,0,-2.64,0,60.32,0,83.67,6.41,0,2.27,0,36.6,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2010,543,0,0.32,0,60.77,0,83.74,6.59,0,1.93,0,36.28,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2011,567,0,1.6,0,60.11,0,84.01,6.8,0,2.41,0,36.39,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2012,598,0,1.17,0,62.43,0,84.14,7.34,0,3.62,0,36.33,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2013,589,0,0.5,0,62.5,0,84.59,7.3,0,2.88,0,36.04,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2014,624,0,1.18,0,61.58,0,83.66,7.22,0,2.61,0,36.06,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2015,684,0,-5.17,0,60.66,0,83.37,7.43,0,2.05,0,33.82,,,,,,,,,,,,,,,,,,
0,Norge,Land,,,,,2016,729,0,-0.18,0,60.34,0,83.2,7.44,0,2.74,0,33.44,,,,,,,,,,,,,,,,,,
1,Østfold,Fylke,1,Østfold,,,2009,417,-59,-4.28,-1.15,59.49,-0.97,82.43,6.22,-0.14,1.93,-0.18,30.2,39.4,42.56,19.51,23.89,34.8,31.8,24.94,50.25,55.67,46.68,37.5,37.45,40.98,21.7,30.51,47.52,37.45,35.63
1,Østfold,Fylke,1,Østfold,,,2010,443,-70,-0.37,-0.13,61.51,0.59,82.46,6.47,-0.06,1.84,0.14,29.75,38.67,40.13,36.05,40.6,61.12,55.14,26,55.4,57.5,55.99,57.8,36.59,39.4,38.33,47.42,56.67,36.59,43.68
1,Østfold,Fylke,1,Østfold,,,2011,453,-74,0.32,-1.03,61.82,1.42,83,6.6,-0.23,2.08,-0.76,29.5,37.37,39.34,38.65,39.32,64.05,60.32,29.31,49.31,56,49.34,35.12,35.96,38.36,38.99,51.23,47.44,35.96,42.39
1,Østfold,Fylke,1,Østfold,,,2012,501,-67,-0.59,-1.06,63.61,0.92,82.92,7.25,-0.13,3.38,-0.15,28.95,41.92,41.71,27.15,28.57,63.77,58.04,27.54,53.69,58.99,54.18,45.29,34.69,41.82,27.86,49.78,53.04,34.69,41.44
1,Østfold,Fylke,1,Østfold,,,2013,476,-73,-0.49,-0.83,63.7,1.04,83.15,7.27,-0.06,2.97,0.23,28.44,36.78,39.1,32.24,29.57,66.56,62.78,26.03,56.9,60.07,62.41,70.16,33.69,37.94,30.9,51.79,62.39,33.69,43.34
1,Østfold,Fylke,1,Østfold,,,2014,502,-77,1.03,-0.08,62.88,1.2,82.28,7.06,-0.19,2.44,-0.01,28.43,36.81,39.54,53,53.92,67.45,64.38,27.47,51.24,57.41,54.1,53.5,33.72,38.17,53.46,53.1,54.06,33.72,46.5
1,Østfold,Fylke,1,Østfold,,,2015,572,-85,-5.37,-0.8,63.21,2.3,82.04,7.48,0.02,2.11,0.26,26.7,35.69,35.78,54.07,43.02,66.55,64.52,26.24,59.18,61.22,62.42,68.64,34.44,35.73,48.55,52.44,62.87,34.44,46.81
1,Østfold,Fylke,1,Østfold,,,2016,590,-103,0.27,-0.01,62.38,1.74,81.86,6.98,-0.47,2.08,-0.46,26.52,34.45,37.85,52.89,48.64,59.02,57.2,25.38,41.41,50.85,38.27,28.42,34.28,36.15,50.76,47.2,39.74,34.28,41.63
2,Akershus,Fylke,2,Akershus,,,2009,582,41,-2.48,-0.11,59.8,-0.85,83.56,6.93,-0.04,2.62,0.01,33.48,73.48,72.29,54.78,45.45,39.4,33.36,43.2,55.32,71.14,72.14,52.72,48.68,72.89,50.11,38.65,62.83,48.68,54.63
2,Akershus,Fylke,2,Akershus,,,2010,577,13,1.61,1.17,60.92,-0.26,83.39,7.44,0.28,3.11,0.81,33.46,71.94,68.03,92.65,75.06,51.4,41.51,39.53,68.62,75.64,87.83,85.16,49.64,69.99,83.85,44.15,79.32,49.64,65.39
2,Akershus,Fylke,2,Akershus,,,2011,648,53,2.71,1.16,59.99,-0.43,83.42,7.22,-0.11,3.04,0.38,33.78,82.04,79.68,75.36,77.67,39.74,35.47,35.02,54.24,68.04,76.61,66.32,50.72,80.86,76.52,36.74,66.3,50.72,62.23
2,Akershus,Fylke,2,Akershus,,,2012,665,46,1.54,0.26,62.48,-0.21,83.58,7.94,0.08,4.53,-0.14,33.65,79.06,78.34,67.36,61.35,46.57,41.27,36.12,63.29,73.31,80.81,45.79,50.77,78.7,64.35,41.32,65.8,50.77,60.19
2,Akershus,Fylke,2,Akershus,,,2013,649,42,1.03,0.46,63.24,0.53,84.36,7.88,0.11,3.52,0.31,33.39,76.88,75.17,70.65,67.96,60.57,55.98,42.53,64.43,72.71,76.8,74.52,50.9,76.03,69.3,53.03,72.11,50.9,64.27
2,Akershus,Fylke,2,Akershus,,,2014,687,42,2.07,0.96,62.28,0.54,83.37,7.69,0.03,3.03,0.19,33.53,76.89,75.24,78.51,78.71,59.58,55.57,41.69,60.83,70.24,72.69,65.54,51.41,76.07,78.61,52.28,67.33,51.41,65.14
2,Akershus,Fylke,2,Akershus,,,2015,720,15,-3.27,1.22,60.52,-0.13,82.71,7.82,-0.02,2.97,0.72,31.92,71.61,67.57,80.56,76,38.16,38.47,35.21,57.69,68.08,81.72,84.99,53.47,69.59,78.28,37.28,73.12,53.47,62.35
2,Akershus,Fylke,2,Akershus,,,2016,728,-9,0.89,0.91,60.57,0.25,82.79,7.81,-0.03,3.36,0.39,31.69,59.69,58.22,61.41,66.06,41.72,42.52,37.93,56.92,66.48,76.99,72.64,53.51,58.95,63.73,40.72,68.26,53.51,57.03
3,Oslo,Fylke,3,Oslo,,,2009,584,50,-2.59,-0.49,58.34,-2.49,81.74,8.14,0.5,3.06,-0.17,55.22,73.84,75.08,52.6,37.68,18.18,11.99,13.79,84.75,97.53,88.22,38.58,100,74.46,45.14,14.65,77.27,100,62.3
3,Oslo,Fylke,3,Oslo,,,2010,631,74,-0.07,-0.85,59.23,-2.04,81.62,8.44,0.59,2.65,-0.4,54.11,85.57,88.29,44.59,21.45,23.09,13,13.83,80.65,94.23,76.15,35.75,100,86.93,33.02,16.64,71.7,100,61.66
3,Oslo,Fylke,3,Oslo,,,2011,638,56,2.4,0.98,56.68,-3.19,81.67,8.96,1.01,3.51,0.39,54.26,79.83,80.51,70.57,74.57,0,0,10.96,97.48,100,90.28,66.44,100,80.17,72.57,3.65,88.55,100,68.99
3,Oslo,Fylke,3,Oslo,,,2012,672,62,1.88,0.6,60.31,-2.12,81.59,9.31,0.88,4.49,-0.75,54.02,80.63,83.72,73.71,69.8,13.44,13.08,10.37,99.82,100,79.84,23.86,100,82.17,71.75,12.3,75.88,100,68.42
3,Oslo,Fylke,3,Oslo,,,2013,666,66,0.44,0.26,61.25,-1.46,82.53,9.22,0.92,3.98,0.24,53.32,80.83,82.85,55.68,62.21,34.69,29.65,17.62,98.71,100,88.9,70.76,100,81.84,58.94,27.32,89.59,100,71.54
3,Oslo,Fylke,3,Oslo,,,2014,693,61,1.93,0.77,60.29,-1.53,81.51,9.26,1.02,3.66,0.22,53.45,78.05,81.04,75.11,74.13,33.17,27.7,17.5,100,100,92.34,67.32,100,79.54,74.62,26.12,89.91,100,74.04
3,Oslo,Fylke,3,Oslo,,,2015,743,58,-2.92,1.45,58.15,-2.26,81.59,9.33,0.91,3.18,0.23,50.83,77.19,81.4,84.98,79.7,13.18,15.67,20.4,95.41,98.81,86.44,67.62,100,79.3,82.34,16.42,87.07,100,73.02
3,Oslo,Fylke,3,Oslo,,,2016,846,114,1.6,0.99,57.52,-2.46,81.57,9.19,0.76,3.62,-0.02,50.81,81.45,84.77,71.16,67.58,12.63,15.88,21.37,84.61,92.57,84.94,51.49,100,83.11,69.37,16.63,78.4,100,69.5
4,Hedmark,Fylke,4,Hedmark,,,2009,422,-8,-4.66,-1.54,60.26,0.22,84.48,4.65,-0.78,1.13,-0.6,28.93,40.31,57.73,12.15,15.83,46.1,47.25,58.16,15.34,21.34,17.26,4.89,33.09,49.02,13.99,50.5,14.71,33.09,32.26
4,Hedmark,Fylke,4,Hedmark,,,2010,433,-22,-0.84,-0.51,61.39,0.83,84.76,5.11,-0.43,1.08,-0.19,28.59,36.15,56.36,22.87,30.51,59.25,59.08,59.35,41.15,32.27,36.92,44.3,32.52,46.25,26.69,59.23,38.66,32.52,40.67
4,Hedmark,Fylke,4,Hedmark,,,2011,446,-31,-0.73,-1.86,62.24,2.09,85.13,4.92,-0.92,1.08,-1.15,28.25,35.87,52.96,22.41,24.8,69.6,69.23,58.58,22.83,23.34,20.76,24.61,31.65,44.41,23.61,65.8,22.89,31.65,37.67
4,Hedmark,Fylke,4,Hedmark,,,2012,493,-15,0.25,-0.18,64.21,1.98,85.67,5.76,-0.51,1.95,-0.7,28.15,40.13,58.64,43,50.46,72.91,73.63,63.2,36.4,28,21.14,25.68,31.93,49.38,46.73,69.91,27.81,31.93,45.15
4,Hedmark,Fylke,4,Hedmark,,,2013,485,-14,-0.68,-0.51,64.22,1.99,85.65,6.14,-0.16,1.77,-0.36,27.82,38.81,57.7,27.39,39.03,73.42,75.36,60.1,52.6,36.6,30.72,37.67,31.54,48.26,33.21,69.63,39.4,31.54,44.41
4,Hedmark,Fylke,4,Hedmark,,,2014,511,-17,1.51,0.62,63.19,1.88,84.61,5.59,-0.63,1.48,-0.47,28.14,38.69,57.46,64.83,70.51,71.67,73.5,57.67,32.81,27.11,23.77,26.09,32.7,48.07,67.67,67.61,27.45,32.7,48.7
4,Hedmark,Fylke,4,Hedmark,,,2015,580,-12,-4.56,0.87,63.92,3.2,85.09,5.65,-0.79,0.44,-0.94,26.76,37.49,59.24,64.23,70.37,74.08,74.18,66.63,26.37,23.91,24.53,25.51,34.65,48.37,67.3,71.63,25.08,34.65,49.41
4,Hedmark,Fylke,4,Hedmark,,,2016,621,-3,-0.44,-0.83,63.32,2.89,84.52,5.75,-0.68,1.85,-0.19,26.61,40.05,59.51,43.12,33.21,68,68.53,61.33,33.94,27.67,31.13,42.64,34.6,49.78,38.16,65.95,33.84,34.6,44.47
5,Oppland,Fylke,5,Oppland,,,2009,369,-84,-3.24,-0.26,61.48,1.64,84.73,4.65,-0.72,1.4,-0.3,31.72,29.37,35.19,39.87,42.28,63.8,65.69,62.22,18.59,21.48,27.35,28.66,42.67,32.28,41.08,63.9,24.02,42.67,40.79
5,Oppland,Fylke,5,Oppland,,,2010,375,-94,0.04,0.52,61.5,1.22,84.58,4.49,-0.99,0.51,-0.72,31.58,21.77,32.42,47.81,57.8,60.97,65.25,56.76,19.67,20.8,22.85,22.67,43.03,27.1,52.8,60.99,21.5,43.03,41.08
5,Oppland,Fylke,5,Oppland,,,2011,406,-86,-0.37,-1.63,61.6,1.64,84.69,4.85,-0.9,1.27,-0.83,31.31,26.67,35.52,28.02,28.81,61.11,63.17,52.56,23.35,21.99,26.12,33.27,42.21,31.1,28.41,58.94,26.19,42.21,37.37
5,Oppland,Fylke,5,Oppland,,,2012,417,-107,-1.52,-2.1,63.53,1.47,85.11,5.39,-0.81,1.9,-0.5,30.66,23.1,28.96,9.77,2.54,62.48,66.1,55.89,22.54,20.46,19.93,32.8,40.54,26.03,6.16,61.49,23.93,40.54,31.63
5,Oppland,Fylke,5,Oppland,,,2013,406,-110,-0.92,-1.01,63.96,1.87,85.7,5.81,-0.43,1.69,-0.42,30.36,20.48,27.35,21.39,24.28,70.07,73.73,60.83,41.24,29.87,28.65,34.55,40.38,23.92,22.84,68.21,33.58,40.38,37.79
5,Oppland,Fylke,5,Oppland,,,2014,431,-119,0.16,-0.94,63.15,1.97,84.6,5.5,-0.63,1.38,-0.51,30.32,21.33,26.79,31.87,33.25,71.03,74.72,57.63,32.53,25.29,20.69,23.52,40.28,24.06,32.56,67.8,25.51,40.28,38.04
5,Oppland,Fylke,5,Oppland,,,2015,510,-104,-4.22,1.26,64.17,3.51,85.12,5.57,-0.77,0.62,-0.68,28.89,20.71,29.68,68.5,76.71,76.7,77.49,67.02,27.35,22.25,28.72,34.82,42.42,25.19,72.6,73.74,28.29,42.42,48.45
5,Oppland,Fylke,5,Oppland,,,2016,531,-119,0.67,0.55,64.04,3.69,84.79,5.17,-1.16,1.31,-0.66,29.06,23.59,34.54,58.27,59.19,74.87,76.44,65.04,17.35,16.86,14.6,17.85,43.72,29.07,58.73,72.12,16.66,43.72,44.06
6,Buskerud,Fylke,6,Buskerud,,,2009,471,-20,-4.06,-1.17,61.63,1.3,84.37,6.22,-0.13,2.1,-0.09,33.7,50.56,54.36,23.92,23.64,65.99,61.26,56.32,50.57,55.66,53.06,44.81,49.45,52.46,23.78,61.19,51.02,49.45,47.58
6,Buskerud,Fylke,6,Buskerud,,,2010,503,-16,0.89,1.59,62.18,1.42,83.95,6.22,-0.29,1.71,-0.07,33.6,53.6,58.13,72.09,86.04,72.41,68.43,47.65,46.43,52.89,52.84,49.09,50.16,55.87,79.07,62.83,50.31,50.16,59.65
6,Buskerud,Fylke,6,Buskerud,,,2011,529,-9,2.01,0.45,62.51,2.2,84.75,6.43,-0.35,2.31,-0.28,33.83,54.82,59.97,64.69,65.39,73.21,70.73,53.39,44.94,52.64,55.83,48.36,50.87,57.39,65.04,65.78,50.44,50.87,57.9
6,Buskerud,Fylke,6,Buskerud,,,2012,561,-12,0.49,-0.38,63.71,1.14,84.57,6.84,-0.49,3.5,-0.01,33.47,55.64,59.56,47.51,45.38,65.24,61.26,48.9,37.16,50.44,56.83,50.3,50.15,57.6,46.44,58.47,48.68,50.15,52.27
6,Buskerud,Fylke,6,Buskerud,,,2013,541,-15,0.58,0,63.66,1.1,84.82,6.87,-0.4,2.57,-0.23,33.19,51.85,57.32,59.24,54.2,66.06,63.53,48.83,42.34,51.77,51.96,44.87,50.19,54.58,56.72,59.47,47.73,50.19,53.74
6,Buskerud,Fylke,6,Buskerud,,,2014,572,-15,0.66,-0.51,62.89,1.29,83.97,6.79,-0.37,2.61,0.13,33.01,51.9,58.14,44.11,43.59,67.58,65.57,49.47,43.56,51.84,59.31,62.24,49.62,55.02,43.85,60.87,54.24,49.62,52.72
6,Buskerud,Fylke,6,Buskerud,,,2015,650,6,-4.62,0.53,63.17,2.42,83.55,7.13,-0.23,2.23,0.35,31.2,54.63,64.88,63.45,64.84,66.17,65.77,46.18,49.32,54.06,65.11,71.76,50.82,59.75,64.15,59.37,60.06,50.82,58.83
6,Buskerud,Fylke,6,Buskerud,,,2016,682,-10,0.45,0.82,63.36,2.91,83.58,6.77,-0.55,2.13,-0.4,31,51.4,57.92,55.31,64.32,68.43,68.71,48.63,38.74,47,39.72,31.61,50.96,54.66,59.81,61.92,39.27,50.96,53.32
7,Vestfold,Fylke,7,Vestfold,,,2009,453,-32,-3.94,-0.88,60.92,0.29,82.99,6.58,0.04,2.16,-0.11,31.55,46.87,50.77,26.21,29.64,55.58,48.11,33.95,59.64,63.37,55.22,43.38,42.08,48.82,27.92,45.88,55.4,42.08,44.02
7,Vestfold,Fylke,7,Vestfold,,,2010,449,-69,-0.36,-0.07,61.78,0.75,82.79,6.35,-0.38,1.44,-0.48,31.15,40.2,40.71,36.45,42.12,65.71,57.7,30.76,42.99,55.22,46.03,32.4,41.51,40.46,39.29,51.39,44.16,41.51,43.36
7,Vestfold,Fylke,7,Vestfold,,,2011,485,-51,-0.36,-1.82,61.16,0.72,82.8,6.67,-0.28,1.96,-0.61,30.71,44.68,46.62,28.21,25.6,55.23,50.95,26.49,47.5,57.35,45.92,39.36,40.14,45.65,26.9,44.22,47.53,40.14,40.89
7,Vestfold,Fylke,7,Vestfold,,,2012,506,-69,0.64,-0.05,63.56,0.71,83.04,7.11,-0.43,3.52,-0.15,30.55,43.2,41.2,50.34,53.6,63.02,54.97,29.09,39.86,56.02,57.32,45.13,40.17,42.2,51.97,49.03,49.58,40.17,46.59
7,Vestfold,Fylke,7,Vestfold,,,2013,494,-62,0.69,0.25,63.37,0.53,83.24,6.79,-0.69,2.87,-0.05,30.47,40.96,42.44,62.05,61.84,62.35,56.07,27.27,30.19,50.19,59.74,54.73,40.73,41.7,61.94,48.56,48.71,40.73,48.33
7,Vestfold,Fylke,7,Vestfold,,,2014,525,-65,1.12,0.02,62.55,0.67,82.52,6.94,-0.42,2.46,-0.15,30.54,41.77,43.04,55.3,56.13,63.08,57.25,30.63,41.79,54.83,54.56,44.95,41.03,42.41,55.72,50.32,49.03,41.03,47.7
7,Vestfold,Fylke,7,Vestfold,,,2015,572,-88,-4.85,-0.16,62.74,1.79,82.32,6.95,-0.57,1.72,-0.29,28.84,35.57,34.84,60.57,53.54,61.56,59.02,30.01,35.5,50.34,53.5,48.59,42.24,35.21,57.05,50.2,46.98,42.24,46.34
7,Vestfold,Fylke,7,Vestfold,,,2016,593,-108,0.23,0.15,62.59,1.9,82.62,6.95,-0.55,2.62,-0.07,28.63,35,36.92,52.24,51.81,61.05,58.84,35.68,38.64,50.41,54.57,48.55,42.13,35.96,52.03,51.86,48.04,42.13,46
8,Telemark,Fylke,8,Telemark,,,2009,447,-62,-3.75,-0.72,60.19,0.02,82.86,5.56,-0.52,1.93,-0.1,30.45,45.46,41.91,29.86,32.84,45.08,44.58,31.89,29.24,41.27,46.73,44.45,38.32,43.68,31.35,40.52,40.42,38.32,38.86
8,Telemark,Fylke,8,Telemark,,,2010,500,-45,-0.72,-0.29,60.68,0.06,83.12,5.58,-0.66,1.22,-0.37,30.11,52.91,48.69,26.27,36.3,47.33,46.73,35.5,32.35,41.03,40.42,37.21,37.88,50.8,31.28,43.18,37.75,37.88,40.18
8,Telemark,Fylke,8,Telemark,,,2011,424,-126,-0.62,-2.04,60.6,0.42,83.37,6.1,-0.41,2.11,-0.36,29.76,30.73,23.03,24.13,21.7,47.81,46.85,34.32,42.38,46.22,50.12,46.19,36.85,26.88,22.91,42.99,46.23,36.85,35.17
8,Telemark,Fylke,8,Telemark,,,2012,538,-50,-0.05,-0.57,62.19,-0.29,83.54,6.55,-0.48,3.19,0.05,29.59,50.37,47.29,37.3,40.61,42.2,40.1,35.51,37.9,44.54,49.8,52.21,36.88,48.83,38.95,39.27,46.11,36.88,42.01
8,Telemark,Fylke,8,Telemark,,,2013,530,-39,-0.92,-1.3,61.83,-0.69,83.22,6.42,-0.59,2.45,-0.18,29.17,49.25,49.69,21.25,15.39,42.27,39.9,26.99,34.46,42.51,48.58,47.35,36.23,49.47,18.32,36.39,43.23,36.23,36.73
8,Telemark,Fylke,8,Telemark,,,2014,554,-47,-0.34,-1.55,61.07,-0.53,82.41,6.48,-0.42,2.63,0.32,28.97,48.02,48.38,19.55,18.8,43.57,41.16,29.19,41.75,45.48,60.13,73.19,35.61,48.2,19.17,37.97,55.14,35.61,39.22
8,Telemark,Fylke,8,Telemark,,,2015,607,-66,-6.45,-1.67,62.68,1.76,82.64,6.32,-0.77,0.81,-0.92,27.03,44.07,42.02,40.42,28.87,60.96,58.69,34.26,27.3,37.55,32.95,25.92,35.66,43.05,34.64,51.3,30.93,35.66,39.12
8,Telemark,Fylke,8,Telemark,,,2016,636,-91,0.36,0.38,61.98,1.24,82.35,6.61,-0.43,1.99,-0.37,27.04,42.79,40.51,54.09,56.14,55.21,52.33,31.98,42.76,43.92,35.33,33.23,36.21,41.65,55.11,46.51,38.81,36.21,43.66
9,Aust-Agder,Fylke,9,Aust-Agder,,,2009,418,-91,-3.21,-0.38,60.09,0.09,84.33,5.92,-0.22,1.85,-0.17,29.88,39.46,33.26,40.41,39.85,43.57,45.46,55.6,45.81,49.05,43.8,38.97,36.34,36.36,40.13,48.21,44.41,36.34,41.09
9,Aust-Agder,Fylke,9,Aust-Agder,,,2010,415,-95,0.43,0.51,59.28,-1.23,84.21,5.79,-0.53,1.63,0.03,29.69,31.74,31.81,58.84,57.55,24.01,25.98,51.31,37.42,44.84,50.67,53.44,36.39,31.77,58.2,33.77,46.59,36.39,41.34
9,Aust-Agder,Fylke,9,Aust-Agder,,,2011,433,-100,-0.38,-1.85,59.99,-0.17,84.54,6.39,-0.2,2.5,-0.11,29.16,32.78,31.14,27.87,25.11,39.65,38.95,50.51,50.44,51.87,61.28,53,34.8,31.96,26.49,43.04,54.15,34.8,38.09
9,Aust-Agder,Fylke,9,Aust-Agder,,,2012,447,-114,-0.21,-1,62.19,-0.13,83.91,6.57,-0.54,3.15,-0.1,28.72,29.79,26.73,34.44,30,42.07,42.47,40.35,35.07,44.87,48.8,46.88,33.9,28.26,32.22,41.63,43.91,33.9,35.98
9,Aust-Agder,Fylke,9,Aust-Agder,,,2013,469,-81,0.81,0.31,60.86,-1.43,83.83,6.75,-0.32,2.91,0.22,28.63,35.21,36.38,65.3,63.62,29.62,30.07,35.38,45.69,49.3,60.68,69.29,34.35,35.79,64.46,31.69,56.24,34.35,44.51
9,Aust-Agder,Fylke,9,Aust-Agder,,,2014,503,-77,-0.97,-2.17,59.99,-1.42,82.84,6.76,-0.24,2.71,0.34,28.11,36.98,39.39,4.34,3.99,29.21,29.16,34.72,49.12,51.18,62.46,74.45,32.61,38.18,4.16,31.03,59.3,32.61,33.06
9,Aust-Agder,Fylke,9,Aust-Agder,,,2015,527,-109,-6.77,-1.83,60.92,0.23,82.99,6.86,-0.38,1.4,-0.42,25.97,24.81,28.23,36.33,26.33,42.45,42.3,38.79,43.1,48.45,46.2,43.98,31.81,26.52,31.33,41.18,45.43,31.81,35.25
9,Aust-Agder,Fylke,9,Aust-Agder,,,2016,546,-124,-0.44,-0.22,60.65,0.3,83.23,7.23,0.02,3.28,0.84,25.63,26.35,33.38,43.08,44.76,42.52,43.1,43.92,58.73,55.63,74.65,95.95,30.96,29.87,43.92,43.18,71.24,30.96,43.83
10,Vest-Agder,Fylke,10,Vest-Agder,,,2009,453,-59,-1.99,1.23,59.13,-1.26,83.5,6.51,0.08,2.54,0.29,35.85,46.71,42.54,64.45,73.21,29.58,27.95,42.21,61.96,61.93,69,75.05,56.8,44.63,68.83,33.25,66.99,56.8,54.1
10,Vest-Agder,Fylke,10,Vest-Agder,,,2010,455,-87,0.03,0.57,58.39,-2.37,82.83,7.33,0.7,3.02,1.11,35.41,41.53,34.47,47.68,59.14,9.09,7.68,31.32,85,73.5,85.43,97.42,56.51,38,53.41,16.03,85.34,56.51,49.86
10,Vest-Agder,Fylke,10,Vest-Agder,,,2011,490,-65,0.57,-1,57.24,-2.97,82.95,7.16,0.37,2.77,0.77,35.19,45.83,42.34,42.43,39.99,3.16,1.6,28.6,72.55,66.85,69.11,76.79,55.56,44.09,41.21,11.12,71.33,55.56,44.66
10,Vest-Agder,Fylke,10,Vest-Agder,,,2012,518,-75,-0.09,-0.8,60.36,-2.26,83.64,7.02,-0.39,3.68,0.14,34.77,45.79,39.41,36.7,35.03,14.31,11.07,36.92,42.07,54.13,61.01,55.48,54.6,42.6,35.86,20.77,53.17,54.6,41.4
10,Vest-Agder,Fylke,10,Vest-Agder,,,2013,497,-76,0.57,0.05,58.87,-3.8,83.82,7.22,-0.13,2.93,-0.02,34.57,41.54,38.05,59.11,55.77,3.66,0,35.13,53.86,59.03,61.27,56.46,55,39.79,57.44,12.93,57.66,55,44.56
10,Vest-Agder,Fylke,10,Vest-Agder,,,2014,523,-84,2.08,0.84,58.25,-3.47,82.91,6.87,-0.37,2.51,-0.11,34.87,41.26,37.3,78.73,75.89,6.1,1.66,35.63,43.69,53.46,56.38,47.77,56.07,39.28,77.31,14.46,50.32,56.07,47.49
10,Vest-Agder,Fylke,10,Vest-Agder,,,2015,601,-76,-6.19,-1.17,59.15,-1.75,82.77,7.4,-0.04,2.08,0,32.27,42.74,38.68,43.65,37.11,23.67,21.1,35.96,57.02,59.54,61.61,59.34,54.75,40.71,40.38,26.91,59.38,54.75,44.43
10,Vest-Agder,Fylke,10,Vest-Agder,,,2016,623,-103,-2.84,-2.68,58.63,-1.95,82.78,7.63,0.22,2.91,0.23,31.05,40.54,37.86,10.13,0,23.23,20.9,37.81,65.71,63.11,63.51,64.21,51.12,39.2,5.06,27.31,64.14,51.12,37.37
11,Rogaland,Fylke,11,Rogaland,,,2009,763,156,-1.87,0.73,63.03,2.73,86.3,6.26,0.04,2.35,0.26,40.22,100,100,66.77,62.86,86.38,79.79,87.52,59.86,56.39,62.23,72.99,71.81,100,64.82,84.57,62.87,71.81,76.81
11,Rogaland,Fylke,11,Rogaland,,,2010,676,106,1.64,0.18,62.37,1.67,86.63,6.69,0.27,2.14,0.36,40.18,96.58,98.83,93.36,48.63,75.57,72.53,86.46,68.12,61.6,63.6,66.82,73.31,97.7,71,78.19,65.03,73.31,77.05
11,Rogaland,Fylke,11,Rogaland,,,2011,698,87,3.97,1.69,61.55,1.46,86.73,6.89,0.35,2.83,1.29,40.99,93.58,90.15,94.8,87.07,60.49,60.85,80.61,71.88,61.58,70.74,90.86,75.57,91.86,90.93,67.32,73.77,75.57,79.89
11,Rogaland,Fylke,11,Rogaland,,,2012,736,86,2.04,-0.37,64.82,2.32,87.07,7.59,0.43,4.45,1.45,41.17,95.13,91.48,76.69,45.81,82.19,78.64,81.34,79.42,66.07,78.97,100,76.48,93.3,61.25,80.72,81.11,76.48,78.57
11,Rogaland,Fylke,11,Rogaland,,,2013,738,105,1.05,-0.19,64.77,2.2,87.53,7.28,0.06,3.04,0.24,40.77,97.58,95.3,71.35,48.71,80.61,78.16,85.79,62.13,60.22,64.33,70.5,76.56,96.44,60.03,81.52,64.29,76.56,75.77
11,Rogaland,Fylke,11,Rogaland,,,2014,802,123,0.47,-0.86,63.93,2.24,86.83,7.48,0.36,2.66,0.11,40.3,100,99.89,39.4,35.35,81.45,78.38,86.42,74.45,66,60.88,60.85,74.92,99.95,37.38,82.09,65.55,74.92,71.97
11,Rogaland,Fylke,11,Rogaland,,,2015,833,114,-7.68,-1.73,58.62,-1.87,85.49,7.54,0.24,2.31,0.33,36.67,98.92,99.12,24.9,27.93,18.17,19.87,71.87,68.1,62.42,66.82,70.93,70.75,99.02,26.42,36.63,67.07,70.75,59.98
11,Rogaland,Fylke,11,Rogaland,,,2016,744,-9,-3.47,-1.71,58.37,-1.72,84.95,8.05,0.7,3.07,0.43,35.1,62.66,58.2,1.37,16.8,20.72,23.15,67.16,82.45,71.08,68.25,74.82,66.24,60.43,9.09,37.01,74.15,66.24,49.38
12,Hordaland,Fylke,12,Hordaland,,,2009,520,-9,-1.51,1.21,60.12,-0.18,83.48,7.07,0.48,2.9,0.51,36.83,60.5,57.6,73.8,72.85,44.04,42.05,41.99,83.61,74.13,82.24,92.47,60.19,59.05,73.32,42.7,83.11,60.19,63.67
12,Hordaland,Fylke,12,Hordaland,,,2010,541,-7,-0.09,-0.15,60.85,0.15,83.54,6.95,0.14,2.09,0,36.22,63.16,61.18,44.09,39.97,50.22,48.04,41.66,63.31,66.45,62.19,51.93,59.39,62.17,42.03,46.64,60.97,59.39,54.24
