Nr,File
1223,Tysnes_komm.svg
1224,Kvinnherad_komm.svg
1227,Jondal_komm.svg
1228,Odda_komm.svg
1231,Ullensvang_komm.svg
1232,Eidfjord_komm.svg
1233,Ulvik_komm.svg
1234,Granvin_komm.svg
1235,Voss_komm.svg
1238,Kvam_komm.svg
1241,Fusa_komm.svg
1242,Samnanger_komm.svg
1243,Os_Hordaland_komm.svg
1244,Austevoll_komm.svg
1245,Sund_komm.svg
1246,Fjell_komm.svg
1247,Askøy_komm.svg
1251,Vaksdal_komm.svg
1252,Modalen_komm.svg
1253,Osterøy_komm.svg
1256,Meland_komm.svg
1259,Øygarden_komm.svg
1260,Radøy_komm.svg
1263,Lindås_komm.svg
1264,Austrheim_komm.svg
1265,Fedje_komm.svg
1266,Masfjorden_komm.svg
1401,Flora_komm.svg
1411,Gulen_komm.svg
1412,Solund_komm.svg
1413,Hyllestad_komm.svg
1416,Høyanger_komm.svg
1417,Vik_komm.svg
1418,Balestrand_komm.svg
1419,Leikanger_komm.svg
1420,Sogndal_komm.svg
1421,Aurland_komm.svg
1422,Lærdal_komm.svg
1424,Årdal_komm.svg
1426,Luster_komm.svg
1428,Askvoll_komm.svg
1429,Fjaler_komm.svg
1430,Gaular_komm.svg
1431,Jølster_komm.svg
1432,Førde_komm.svg
1433,Naustdal_komm.svg
1438,Bremanger_komm.svg
1439,Vågsøy_komm.svg
1441,Selje_komm.svg
1443,Eid_komm.svg
1444,Hornindal_komm.svg
1445,Gloppen_komm.svg
1449,Stryn_komm.svg
1502,Molde_komm.svg
1504,Ålesund_komm.svg
1505,Kristiansund_komm.svg
1511,Vanylven_komm.svg
1514,Sande_Møre_og_Romsdal_komm.svg
1515,Herøy_Møre_og_Romsdal_komm.svg
1516,Ulstein_komm.svg
1517,Hareid_komm.svg
1519,Volda_komm.svg
1520,Ørsta_komm.svg
1523,Ørskog_komm.svg
1524,Norddal_komm.svg
1525,Stranda_komm.svg
1526,Stordal_komm.svg
1528,Sykkylven_komm.svg
1529,Skodje_komm.svg
1531,Sula_komm.svg
1532,Giske_komm.svg
1534,Haram_komm.svg
1535,Vestnes_komm.svg
1539,Rauma_komm.svg
1543,Nesset_komm.svg
1545,Midsund_komm.svg
1546,Sandøy_komm.svg
1547,Aukra_komm.svg
1548,Fræna_komm.svg
1551,Eide_komm.svg
1554,Averøy_komm.svg
1557,Gjemnes_komm.svg
1560,Tingvoll_komm.svg
1563,Sunndal_komm.svg
1566,Surnadal_komm.svg
1567,Rindal_komm.svg
1571,Halsa_komm.svg
1573,Smøla_komm.svg
1576,Aure_komm.svg
1601,Trondheim_komm.svg
1612,Hemne_komm.svg
1613,Snillfjord_komm.svg
1617,Hitra_komm.svg
1620,Frøya_komm.svg
1621,Ørland_komm.svg
1622,Agdenes_komm.svg
1624,Rissa_komm.svg
1627,Bjugn_komm.svg
1630,Åfjord_komm.svg
1632,Roan_komm.svg
1633,Osen_komm.svg
1634,Oppdal_komm.svg
1635,Rennebu_komm.svg
1636,Meldal_komm.svg
1638,Orkdal_komm.svg
1640,Røros_komm.svg
1644,Holtålen_komm.svg
1648,Midtre_Gauldal_komm.svg
1653,Melhus_komm.svg
1657,Skaun_komm.svg
1662,Klæbu_komm.svg
1663,Malvik_komm.svg
1664,Selbu_komm.svg
1665,Tydal_komm.svg
1702,Steinkjer_komm.svg
1703,Namsos_komm.svg
1711,Meråker_komm.svg
1714,Stjørdal_komm.svg
1717,Frosta_komm.svg
1718,Leksvik_komm.svg
1719,Levanger_komm.svg
1721,Verdal_komm.svg
1724,Verran_komm.svg
1725,Namdalseid_komm.svg
1736,Snåsa_komm.svg
1738,Lierne_komm.svg
1739,Røyrvik_komm.svg
1740,Namsskogan_komm.svg
1742,Grong_komm.svg
1743,Høylandet_komm.svg
1744,Overhalla_komm.svg
1748,Fosnes_komm.svg
1749,Flatanger_komm.svg
1750,Vikna_komm.svg
1751,Nærøy_komm.svg
1755,Leka_komm.svg
1756,Inderøy_komm.svg
1804,Bodø_komm.svg
1805,Narvik_komm.svg
1811,Bindal_komm.svg
1812,Sømna_komm.svg
1813,Brønnøy_komm.svg
1815,Vega_komm.svg
1816,Vevelstad_komm.svg
1818,Herøy_Nordland_komm.svg
1820,Alstahaug_komm.svg
1822,Leirfjord_komm.svg
1824,Vefsn_komm.svg
1825,Grane_komm.svg
1826,Hattfjelldal_komm.svg
1827,Dønna_komm.svg
1828,Nesna_komm.svg
1832,Hemnes_komm.svg
1833,Rana_komm.svg
1834,Lurøy_komm.svg
1835,Træna_komm.svg
1836,Rødøy_komm.svg
1837,Meløy_komm.svg
1838,Gildeskål_komm.svg
1839,Beiarn_komm.svg
1840,Saltdal_komm.svg
1841,Fauske_komm.svg
1845,Sørfold_komm.svg
1848,Steigen_komm.svg
1849,Hamarøy_komm.svg
1850,Tysfjord_komm.svg
1851,Lødingen_komm.svg
1852,Tjeldsund_komm.svg
1853,Evenes_komm.svg
1854,Ballangen_komm.svg
1856,Røst_komm.svg
1857,Værøy_komm.svg
1859,Flakstad_komm.svg
1860,Vestvågøy_komm.svg
1865,Vågan_komm.svg
1866,Hadsel_komm.svg
1867,Bø_Nordland_komm.svg
1868,Øksnes_komm.svg
1870,Sortland_komm.svg
1871,Andøy_komm.svg
1874,Moskenes_komm.svg
1902,Tromsø_komm.svg
1903,Harstad_komm.svg
1911,Kvæfjord_komm.svg
1913,Skånland_komm.svg
1917,Ibestad_komm.svg
1919,Gratangen_komm.svg
1920,Lavangen_komm.svg
1922,Bardu_komm.svg
1923,Salangen_komm.svg
1924,Målselv_komm.svg
1925,Sørreisa_komm.svg
1926,Dyrøy_komm.svg
1927,Tranøy_komm.svg
1928,Torsken_komm.svg
1929,Berg_komm.svg
1931,Lenvik_komm.svg
1933,Balsfjord_komm.svg
1936,Karlsøy_komm.svg
1938,Lyngen_komm.svg
1939,Storfjord_komm.svg
1940,Kåfjord_komm.svg
1941,Skjervøy_komm.svg
1942,Nordreisa_komm.svg
1943,Kvænangen_komm.svg
2002,Vardø_komm.svg
2003,Vadsø_komm.svg
2004,Hammerfest_komm.svg
2011,Kautokeino_komm.svg
